"ITTER107","Territorio","TIPO_DATO7","Tipo dato","SEXISTAT1","Sesso","ETA1_A","Classe di età","PROFILO_PROF","Qualifica contrattuale","ATECO_2007","Ateco 2007","CLLVT","Classe di dipendenti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2015","2015",20.97,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2016","2016",21.09,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2017","2017",21.21,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2014","2014",25.79,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2015","2015",24.38,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2016","2016",24.34,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2017","2017",24.44,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W10_49","10-49","2014","2014",13.13,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W10_49","10-49","2015","2015",13.2,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W10_49","10-49","2016","2016",13.14,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W10_49","10-49","2017","2017",13.23,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","C","attività manifatturiere","TOTAL","totale","2014","2014",21.18,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","C","attività manifatturiere","TOTAL","totale","2015","2015",21.19,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","C","attività manifatturiere","TOTAL","totale","2016","2016",21.24,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","C","attività manifatturiere","TOTAL","totale","2017","2017",21.53,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","7","apprendista","C","attività manifatturiere","TOTAL","totale","2014","2014",8.91,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","7","apprendista","C","attività manifatturiere","TOTAL","totale","2015","2015",9.16,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","7","apprendista","C","attività manifatturiere","TOTAL","totale","2016","2016",9,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","7","apprendista","C","attività manifatturiere","TOTAL","totale","2017","2017",8.91,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","B","estrazione di minerali da cave e miniere","TOTAL","totale","2014","2014",30.73,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","B","estrazione di minerali da cave e miniere","TOTAL","totale","2015","2015",30.5,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","B","estrazione di minerali da cave e miniere","TOTAL","totale","2016","2016",29.93,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","1","dirigente; impiegato","B","estrazione di minerali da cave e miniere","TOTAL","totale","2017","2017",29.8,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","D","fornitura di energia elettrica, gas, vapore e aria condizionata","W0_9","0-9","2014","2014",15.54,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","D","fornitura di energia elettrica, gas, vapore e aria condizionata","W0_9","0-9","2015","2015",16.19,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","D","fornitura di energia elettrica, gas, vapore e aria condizionata","W0_9","0-9","2016","2016",14.51,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","D","fornitura di energia elettrica, gas, vapore e aria condizionata","W0_9","0-9","2017","2017",14.97,,
